title,iLibraryUrl,identifier,dateOfPublication
Globalisation and Higher Education,education/globalisation-and-higher-education_173831738240,173831738240,2007-07-06
Quantifying the Effect of Financial Conditions on US Activity,economics/quantifying-the-effect-of-financial-conditions-on-us-activity_236860073636,236860073636,2008-09-08
Profits and Rates of Return in OECD Countries,economics/profits-and-rates-of-return-in-oecd-countries_468348310348,468348310348,1985-05-01
Amérique latine,development/amerique-latine_246114824312,246114824312,2006-06-01
OECD Declaration on Transborder Data Flows,science-and-technology/oecd-declaration-on-transborder-data-flows_230240624407,230240624407,1985-04-11
Online Payment Systems for E-commerce,science-and-technology/online-payment-systems-for-e-commerce_231454241135,231454241135,2006-04-18
To Benefit from Plenty: Lessons from Chile and Norway,development/to-benefit-from-plenty-lessons-from-chile-and-norway_238030862800,238030862800,2008-09-08
Economic Policies and Sectoral Growth,development/economic-policies-and-sectoral-growth_261536463510,261536463510,1990-06-01
The Euro Changeover in the Slovak Republic,economics/the-euro-changeover-in-the-slovak-republic_240631807010,240631807010,2008-08-12
Mobile Multiple Play,science-and-technology/mobile-multiple-play_231042710767,231042710767,2007-01-15
Mobilising Investment for Development,finance-and-investment/mobilising-investment-for-development_310312530030,310312530030,2004-12-01
Compétences et emploi dans le domaine des TIC,science-and-technology/competences-et-emploi-dans-le-domaine-des-tic_232512725077,232512725077,2005-05-04
Inclusion des élèves à besoins éducatifs spéciaux dans les écoles en Irlande,education/inclusion-des-eleves-a-besoins-educatifs-speciaux-dans-les-ecoles-en-irlande_224772044438,224772044438,2009-01-01
Les bibliothèques scolaires dans une société de communication,education/les-bibliotheques-scolaires-dans-une-societe-de-communication_441743464504,441743464504,1999-10-01
La gestion des incidents graves en Australie,education/la-gestion-des-incidents-graves-en-australie_248273070781,248273070781,2007-03-01
Public Policy and Voluntary Initiatives,finance-and-investment/public-policy-and-voluntary-initiatives_618786830625,618786830625,2001-02-01
Governance Indicators for Development,development/governance-indicators-for-development_244762742121,244762742121,2006-11-01
Analysis of the Economic Impact of Investment Provisions in Regional Trade Agreements,trade/analysis-of-the-economic-impact-of-investment-provisions-in-regional-trade-agreements_322248021805,322248021805,2006-07-11
Improving the Efficiency and Sustainability of Public Expenditure in the Czech Republic,economics/improving-the-efficiency-and-sustainability-of-public-expenditure-in-the-czech-republic_085803311247,085803311247,2002-04-23
Education Facilities for Young Children,education/education-facilities-for-young-children_407064601310,407064601310,2006-11-01
Use of Plant-Level Micro-Data for the Evaluation of SME Innovation Policy in Japan,science-and-technology/use-of-plant-level-micro-data-for-the-evaluation-of-sme-innovation-policy-in-japan_754607664810,754607664810,2002-01-16
"Oil Price Shocks, Rigidities and the Conduct of Monetary Policy",economics/oil-price-shocks-rigidities-and-the-conduct-of-monetary-policy_242188534400,242188534400,2008-04-08
Education and Civic Engagement,education/education-and-civic-engagement_050484723262,050484723262,2007-11-23
Encouraging Environmentally Sustainable Growth in Canada,economics/encouraging-environmentally-sustainable-growth-in-canada_113221185672,113221185672,2001-03-22
Factors Influencing the Steel Work Force,science-and-technology/factors-influencing-the-steel-work-force_828864608423,828864608423,1996-01-01
After the Great Asian Slump,development/after-the-great-asian-slump_103552636186,103552636186,1999-01-16
The Ageing Challenge in Norway,economics/the-ageing-challenge-in-norway_600718358800,600718358800,2006-02-16
The Role of Accessibility in Passengers' Choice of Airports,transport/the-role-of-accessibility-in-passengers-choice-of-airports_235278552305,235278552305,2008-08-01
"Walras - A Multi-Sector, Multi-Country Applied General Equilibrium Model for Quantifying the Economy-Wide Effects of Agricultural Policies",economics/walras-a-multi-sector-multi-country-applied-general-equilibrium-model-for-quantifying-the-economy-wide-effects-of-agricultural-policies_608515657666,608515657666,1990-08-01
"Intégration, non-intégration des transports maritimes, des activités portuaires et logistiques",transport/integration-non-integration-des-transports-maritimes-des-activites-portuaires-et-logistiques_227542743751,227542743751,2009-01-01
Regulation and Performance in the Distribution Sector,economics/regulation-and-performance-in-the-distribution-sector_121136556730,121136556730,1997-01-01
The Dynamics of Social Assistance Receipt,social-issues-migration-health/the-dynamics-of-social-assistance-receipt_236346714741,236346714741,2008-10-01
The US Physician Workforce,social-issues-migration-health/the-us-physician-workforce_228550866304,228550866304,2008-10-13
The Distribution System in Sweden,economics/the-distribution-system-in-sweden_233528583424,233528583424,1993-04-01
Hungarian Innovation Policy,economics/hungarian-innovation-policy_066565101220,066565101220,2005-09-28
Formules de gestion de la haute fonction publique axées sur les performances,governance/formules-de-gestion-de-la-haute-fonction-publique-axees-sur-les-performances_160371110188,160371110188,2007-07-01
Vers une société apprenante,education/vers-une-societe-apprenante_801664360401,801664360401,2001-02-01
Understanding the Regional Contribution of Higher Education Institutions,education/understanding-the-regional-contribution-of-higher-education-institutions_161208155312,161208155312,2007-07-09
Transparency and Third Party Participation in Investor-State Dispute Settlement Procedures,finance-and-investment/transparency-and-third-party-participation-in-investor-state-dispute-settlement-procedures_524613550768,524613550768,2005-05-01
Plans de gestion des actifs scolaires au Royaume-Uni,education/plans-de-gestion-des-actifs-scolaires-au-royaume-uni_457537045603,457537045603,1999-02-01
Productivity Impacts of Offshoring and Outsourcing,science-and-technology/productivity-impacts-of-offshoring-and-outsourcing_685237388034,685237388034,2006-03-06
A Framework for Addressing and Measuring Entrepreneurship,economics/a-framework-for-addressing-and-measuring-entrepreneurship_243160627270,243160627270,2008-01-24
Governance of Decentralised Pay Setting in Selected OECD Countries,governance/governance-of-decentralised-pay-setting-in-selected-oecd-countries_210083427643,210083427643,2007-04-01
Enhancing Income Convergence in Central Europe after EU Accession,economics/enhancing-income-convergence-in-central-europe-after-eu-accession_841850564562,841850564562,2004-06-16
Information Availability for Measuring and Comparing Quality of Mental Health Care Across OECD Countries,social-issues-migration-health/information-availability-for-measuring-and-comparing-quality-of-mental-health-care-across-oecd-countries_237827772222,237827772222,2008-09-02
Optimal Currency Composition of Foreign Debt,development/optimal-currency-composition-of-foreign-debt_021451754503,021451754503,1990-08-01
"Deregulation, Trade Reform and Innovation in the South African Agriculture Sector",trade/case-study-no-4-deregulation-trade-reform-and-innovation-in-the-south-african-agriculture-sector_240428414841,240428414841,2008-08-06
Italie : une école flexible axée sur la petite enfance,education/italie-une-ecole-flexible-axee-sur-la-petite-enfance_241347056115,241347056115,2008-06-01
Encouraging Environmentally Sustainable Growth in Austria,economics/encouraging-environmentally-sustainable-growth-in-austria_402531183476,402531183476,2002-02-20
Venture Capital Policies in Israel,science-and-technology/venture-capital-policies-in-israel_585780028400,585780028400,2003-01-28
"Regulation, Allocative Efficiency and Productivity in OECD Countries",economics/regulation-allocative-efficiency-and-productivity-in-oecd-countries_241447806226,241447806226,2008-06-13
Structural Adjustment and the Institutional Dimensions of Agricultural Research and Development in Brazil,development/structural-adjustment-and-the-institutional-dimensions-of-agricultural-research-and-development-in-brazil_866017563566,866017563566,1992-08-01
Enseigner la conception durable dans les écoles,education/enseigner-la-conception-durable-dans-les-ecoles_475506718742,475506718742,1998-10-01
Gouvernance de la détermination décentralisée des rémunérations dans certains pays membres de l'OCDE,governance/gouvernance-de-la-determination-decentralisee-des-remunerations-dans-certains-pays-membres-de-l-ocde_108045522604,108045522604,2007-04-01
South-South Services Trade,trade/south-south-services-trade_314720701370,314720701370,2006-10-17
China,development/china_245778353326,245778353326,2006-06-01
Sectoral Regulatory Reforms in Italy,economics/sectoral-regulatory-reforms-in-italy_857601117127,857601117127,2001-05-14
Austria's Training Firms,education/austria-s-training-firms_446023675001,446023675001,1999-10-01
OECD Work on Future Educational Environments,education/oecd-work-on-future-educational-environments_235174702321,235174702321,2008-10-01
"Inventaire des lois, politiques et pratiques régissant la protection des consommateurs  dans le contexte du commerce électronique",science-and-technology/inventaire-des-lois-politiques-et-pratiques-regissant-la-protection-des-consommateurs-dans-le-contexte-du-commerce-electronique_233874263144,233874263144,2001-09-14
Pension Fund Investment in Hedge Funds,finance-and-investment/pension-fund-investment-in-hedge-funds_086456868358,086456868358,2007-09-01
The Impact of Services  Trade  Liberalisation on Trade in Non-Agricultural Products,trade/the-impact-of-services-trade-liberalisation-on-trade-in-non-agricultural-products_227107117401,227107117401,2008-10-16
Public Expenditure Reform,economics/public-expenditure-reform_207823881077,207823881077,2000-08-29
Stock Market Fluctuations and Consumption Behaviour,economics/stock-market-fluctuations-and-consumption-behaviour_853414662323,853414662323,1998-12-02
The Role of Communication Infrastructure Investment in Economic Recovery,science-and-technology/the-role-of-communication-infrastructure-investment-in-economic-recovery_222432403368,222432403368,2009-05-19
